tour_id,title,slug,hero_image_url,short_description,duration_days,duration_nights,price_usd,price_eur,start_city,end_city,destinations,highlights,includes,excludes,category,featured,published,order
FAB-2DAY-ZAG,2-Day Zagora Desert,2-day-zagora-desert,,Quick escape to the Draa Valley and Zagora desert with overnight camp under the stars.,2,1,180,170,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Draa Valley, Zagora",Tizi n'Tichka pass|Ait Benhaddou kasbah|Draa Valley palms|Desert camp|Camel trek,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,1
FAB-3DAY-SAH,3-Day Sahara Desert,3-day-sahara-desert,,The classic Merzouga experience. Cross the Atlas, sleep in the dunes, return through the valleys.,3,2,280,265,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Ouarzazate, Dades Valley, Merzouga",Erg Chebbi dunes|Sunset camel trek|Desert camp|Todra Gorge|Dades Valley,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,2
FAB-3DAY-FES,3-Day Desert to Fes,3-day-desert-to-fes,,Cross Morocco from Marrakech to Fes through the Sahara. One-way journey through the heart of the country.,3,2,295,280,Marrakech,Fes,"Marrakech, Ait Benhaddou, Merzouga, Ziz Valley, Ifrane, Fes",Erg Chebbi dunes|Ziz Valley oasis|Cedar forests|Ifrane|Camel trek,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,3
FAB-4DAY-SAH,4-Day Sahara & Valleys,4-day-sahara-valleys,,More time in the desert and valleys. Explore Todra Gorge, Dades Valley, and the Erg Chebbi dunes.,4,3,380,360,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Dades Valley, Todra Gorge, Merzouga",Two nights desert experience|Todra Gorge|Dades Valley kasbahs|Ait Benhaddou|Nomad visit,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Desert camp dinners|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,4
FAB-4DAY-FES,4-Day Desert to Fes,4-day-desert-to-fes,,The complete crossing. Marrakech to Fes via Sahara with time to breathe in the valleys.,4,3,420,395,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades Valley, Merzouga, Ziz Valley, Fes",Dades Valley|Todra Gorge|Erg Chebbi|Ziz Valley|Cedar forests,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,5
FAB-5DAY-IMP,5-Day Imperial Cities & Desert,5-day-imperial-cities-desert,,Desert and cities combined. Sahara experience plus Fes medina exploration.,5,4,520,490,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Ifrane",Sahara desert|Fes medina|Volubilis ruins|Cedar forests|Atlas crossing,Private 4x4 vehicle|English-speaking driver|4 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|Fes guide,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,6
FAB-8DAY-MOR,8-Day Morocco Discovery,8-day-morocco-discovery,,The essential Morocco loop. Desert, mountains, imperial cities, and the blue pearl of Chefchaouen.,8,7,890,840,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Chefchaouen, Rabat",Sahara desert|Chefchaouen blue city|Fes medina|Volubilis|Four imperial cities,Private 4x4 vehicle|English-speaking driver|7 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|City guides,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,7
FAB-9DAY-GRD,9-Day Grand Morocco,9-day-grand-morocco,,Extended journey through Morocco's highlights. More time in each place, deeper experience.,9,8,980,920,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades, Merzouga, Fes, Meknes, Chefchaouen",Extended desert time|Dades Valley|Fes cultural immersion|Meknes|Chefchaouen,Private 4x4 vehicle|English-speaking driver|8 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|City guides,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,8
FAB-2DAY-FEZ,2-Day Fes to Desert,2-day-fes-desert,,Quick desert escape from Fes. Through the Middle Atlas to Merzouga and back.,2,1,190,180,Fes,Fes,"Fes, Ifrane, Ziz Valley, Merzouga",Cedar forests|Ziz Valley|Erg Chebbi|Camel trek|Desert camp,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,9
FAB-3DAY-FEZ,3-Day Fes to Desert,3-day-fes-to-desert,,From the ancient medina to the golden dunes. Round trip from Fes through Middle Atlas.,3,2,290,275,Fes,Fes,"Fes, Ifrane, Azrou, Ziz Valley, Merzouga, Todra Gorge",Middle Atlas|Cedar forests|Erg Chebbi|Todra Gorge|Berber villages,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,10
