Route_ID,Image_URL_1,MJ_Prompt,From_City,To_City,Via_Cities,Route_Type,Region,Travel_Time_Hours,Day_Duration_Hours,Activities,Difficulty_Level,Meals,Route_Description,Route_Narrative
CHE-RAB-115,,"Ultra photorealistic. National Geographic style. Cinematic. Rif Mountains winding road descending toward Atlantic plain, green hills giving way to farmland, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Chefchaouen,Rabat,,Transfer,North,4,8,Sightseeing,Easy,Breakfast,Descend from the blue city through the Rif foothills to Morocco's capital on the Atlantic coast.,Leave the blue-washed streets of Chefchaouen behind as you wind down through the Rif Mountains. The landscape shifts from mountain green to coastal plain as you approach Rabat—Morocco's elegant capital where history meets the Atlantic.
DAD-MER-116,,"Ultra photorealistic. National Geographic style. Cinematic. Todra Gorge narrow passage, towering red canyon walls, soft light filtering through, small river at bottom, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 35mm lens, f/4 --style raw --s 70 --ar 16:9",Dades,Merzouga,Todra Gorge|Tinghir|Erfoud,Scenic,South,5,9,Hiking|Sightseeing,Moderate,Breakfast|Dinner,Through the dramatic Todra Gorge and across the hammada to the golden dunes of Erg Chebbi.,The road from Dades leads you through one of Morocco's most dramatic landscapes—the towering walls of Todra Gorge where the canyon narrows to just 10 meters. Beyond lies the hammada—rocky desert giving way to the first glimpse of Erg Chebbi's golden dunes.
DAD-OUA-117,,"Ultra photorealistic. National Geographic style. Cinematic. Road of a Thousand Kasbahs, earthen fortresses dotting valley floor, palm groves, Atlas Mountains beyond, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Dades,Ouarzazate,Skoura|Rose Valley,Scenic,South,3,6,Sightseeing,Easy,Breakfast,Along the Road of a Thousand Kasbahs through the Skoura palm oasis to Ouarzazate.,Follow the ancient caravan route westward through the Skoura palm oasis—17km of date palms sheltering crumbling kasbahs. In spring the Rose Valley blooms pink. Ouarzazate awaits at the crossroads of the south.
FES-CHE-118,,"Ultra photorealistic. National Geographic style. Cinematic. Road winding through Rif Mountains, terraced cannabis fields on hillsides, whitewashed villages, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Fes,Chefchaouen,,Transfer,North,4,7,Sightseeing,Easy,Breakfast,North through the Rif Mountains to Morocco's famous blue city.,Leave the ancient medina of Fes and climb into the Rif Mountains—a world apart from the imperial south. The road winds through villages and terraced hillsides until suddenly: Chefchaouen appears, its blue-washed walls spilling down the mountainside.
FES-MID-119,,"Ultra photorealistic. National Geographic style. Cinematic. Middle Atlas cedar forest, ancient trees, Barbary macaques, dappled light, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds visible through canopy, quiet composition, negative space, film photography look, medium format camera, 85mm lens, f/2.8 --style raw --s 70 --ar 16:9",Fes,Midelt,Ifrane|Azrou,Scenic,Middle Atlas,4,7,Wildlife|Sightseeing,Easy,Breakfast,Through the cedar forests of the Middle Atlas to the mountain town of Midelt.,Climb from Fes into the Middle Atlas—first through Ifrane's alpine architecture then into the ancient cedar forests where Barbary macaques swing through the branches. Midelt waits at the foot of Jebel Ayachi the gateway to the deep south.
MAR-ZAG-120,,"Ultra photorealistic. National Geographic style. Cinematic. Draa Valley palm groves stretching to horizon, ancient kasbah towers, date palms, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Marrakech,Zagora,Tizi n'Tichka|Ait Benhaddou|Ouarzazate|Draa Valley,Scenic,South,7,10,Sightseeing,Moderate,Breakfast|Dinner,Cross the High Atlas and follow Morocco's longest river to the edge of the Sahara.,The ancient caravan route—over Tizi n'Tichka pass past Ait Benhaddou and down into the Draa Valley. For 200km the road follows Morocco's longest river through a ribbon of palm groves and kasbahs to Zagora—gateway to the desert.
MEK-MER-121,,"Ultra photorealistic. National Geographic style. Cinematic. Ziz Valley panorama, green palm oasis cutting through red canyon walls, winding road, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Meknes,Merzouga,Azrou|Midelt|Ziz Valley,Scenic,Middle Atlas,7,10,Wildlife|Sightseeing,Moderate,Breakfast|Dinner,From the imperial city through the Middle Atlas to the Sahara—a full day's journey to the dunes.,Leave the granaries of Moulay Ismail behind and climb through cedar forests into the Middle Atlas. Descend through the spectacular Ziz Valley—a ribbon of green through red canyon walls—to reach the golden dunes of Erg Chebbi by sunset.
MER-FES-122,,"Ultra photorealistic. National Geographic style. Cinematic. Ziz Valley morning light, palm oasis in gorge, road climbing toward Middle Atlas, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Merzouga,Fes,Ziz Valley|Midelt|Azrou|Ifrane,Scenic,Middle Atlas,7,10,Wildlife|Sightseeing,Moderate,Breakfast,From the Sahara dunes north through the Ziz Valley and cedar forests to the ancient medina of Fes.,Wake to sunrise over the dunes then begin the journey north. Climb through the Ziz Valley—green palms against red rock—into the Middle Atlas. Cedar forests and Barbary macaques mark the approach to Fes the spiritual capital of Morocco.
MID-FES-123,,"Ultra photorealistic. National Geographic style. Cinematic. Middle Atlas plateau, snow-capped peaks, alpine meadows, cedar forests, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Midelt,Fes,Azrou|Ifrane,Scenic,Middle Atlas,4,6,Wildlife|Sightseeing,Easy,Breakfast,Descend from the mountains through cedar forests and alpine towns to Fes.,From Midelt the road winds through the heart of the Middle Atlas—past Azrou's monkey forest and Ifrane's surprising Swiss-style architecture. The landscape softens as you approach the Saïss plain and the minarets of Fes appear on the horizon.
OUA-MAR-124,,"Ultra photorealistic. National Geographic style. Cinematic. Tizi n'Tichka pass winding road, High Atlas peaks, dramatic mountain scenery, Morocco, documentary editorial photography, luminous color, soft natural light, open shadows, low contrast, true color, blue sky with soft clouds for movement and texture, quiet composition, negative space, film photography look, medium format camera, 50mm lens, f/4 --style raw --s 70 --ar 16:9",Ouarzazate,Marrakech,Ait Benhaddou|Tizi n'Tichka,Scenic,South,4,7,Sightseeing,Easy,Breakfast,Over the High Atlas via Ait Benhaddou and Tizi n'Tichka pass to Marrakech.,The reverse of the classic crossing—from the southern gateway over the backbone of Morocco. Stop at Ait Benhaddou in different light then climb to Tizi n'Tichka (2260m). The descent reveals the Haouz plain and Marrakech sprawling beneath the Atlas.
