tour_id,day_number,title,from_city,to_city,description,driving_hours,meals,accommodation,image_url,activities,difficulty
FAB-2DAY-ZAG,1,Marrakech to Zagora,Marrakech,Zagora,"Depart Marrakech crossing the High Atlas via Tizi n'Tichka pass (2260m). Stop at Ait Benhaddou, the ancient caravan route fortress. Continue through Ouarzazate and the Draa Valley—Morocco's longest river lined with palm groves. Arrive Zagora for sunset camel trek into the dunes.",7,Dinner,Desert Camp,,Camel trek,Moderate
FAB-2DAY-ZAG,2,Zagora to Marrakech,Zagora,Marrakech,"Wake for sunrise over the desert. After breakfast, return through the Draa Valley with stops at Berber villages. Cross back over the Atlas arriving Marrakech evening.",7,Breakfast,End of tour,,Sightseeing,Easy
FAB-3DAY-SAH,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Cross the High Atlas via Tizi n'Tichka pass. Visit Ait Benhaddou—the UNESCO fortress from Gladiator and Game of Thrones. Continue through Ouarzazate along the Road of a Thousand Kasbahs to the dramatic Dades Valley.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-3DAY-SAH,2,Dades to Merzouga,Dades Valley,Merzouga,"Morning walk in Dades Gorge among finger-like rock formations. Drive through Tinghir to Todra Gorge—300m canyon walls just 10m apart. Continue to Merzouga for sunset camel trek into Erg Chebbi. Dinner and night under the stars.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-3DAY-SAH,3,Merzouga to Marrakech,Merzouga,Marrakech,"Optional sunrise over the dunes. After breakfast, the long scenic drive back through Rissani, over the Atlas. Arrive Marrakech evening.",9,Breakfast,End of tour,,Sightseeing,Easy
FAB-3DAY-FES,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Cross the High Atlas via Tizi n'Tichka. Visit Ait Benhaddou and Ouarzazate. Continue to Dades Valley for sunset.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-3DAY-FES,2,Dades to Merzouga,Dades Valley,Merzouga,"Dades Gorge morning walk. Todra Gorge. Arrive Merzouga for sunset camel trek and desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-3DAY-FES,3,Merzouga to Fes,Merzouga,Fes,"Sunrise over the dunes. Drive north through the Ziz Valley—green palms through red canyon walls. Cedar forests with Barbary macaques. Ifrane. Arrive Fes evening.",7,Breakfast,End of tour,,Sightseeing,Easy
FAB-4DAY-SAH,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Atlas crossing via Tizi n'Tichka. Ait Benhaddou. Ouarzazate. Dades Valley sunset.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-4DAY-SAH,2,Dades to Merzouga,Dades Valley,Merzouga,"Dades Gorge walk. Todra Gorge. Arrive Merzouga. Sunset camel trek. Desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-4DAY-SAH,3,Merzouga,Merzouga,Merzouga,"Full day exploring the desert. Options: 4x4 to nomad families, sandboarding, Khamlia village for Gnawa music. Second night desert area.",2,Breakfast|Dinner,Desert Hotel,,Desert exploration,Easy
FAB-4DAY-SAH,4,Merzouga to Marrakech,Merzouga,Marrakech,"Sunrise. Scenic return through Todra Gorge and over the Atlas. Arrive Marrakech evening.",9,Breakfast,End of tour,,Sightseeing,Easy
FAB-4DAY-FES,1,Marrakech to Dades,Marrakech,Dades Valley,"Atlas crossing. Ait Benhaddou. Ouarzazate. Dades Valley.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-4DAY-FES,2,Dades to Merzouga,Dades Valley,Merzouga,"Dades Gorge. Todra Gorge. Merzouga. Camel trek. Desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-4DAY-FES,3,Merzouga to Midelt,Merzouga,Midelt,"Morning desert. Ziz Valley. Fossils at Erfoud. Midelt at foot of Middle Atlas.",5,Breakfast|Dinner,Midelt Hotel,,Sightseeing,Easy
