tour_id,title,slug,hero_image_url,hero_image_prompt,short_description,duration_days,duration_nights,price_usd,price_eur,start_city,end_city,destinations,highlights,includes,excludes,category,featured,published,order
FAB-2DAY-ZAG,2-Day Zagora Desert,2-day-zagora-desert,,"Draa Valley palm grove at golden hour, ancient kasbah rising from date palms, Morocco, soft afternoon light filtering through fronds, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",Quick escape to the Draa Valley and Zagora desert with overnight camp under the stars.,2,1,180,170,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Draa Valley, Zagora",Tizi n'Tichka pass|Ait Benhaddou kasbah|Draa Valley palms|Desert camp|Camel trek,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,1
FAB-3DAY-SAH,3-Day Sahara Desert,3-day-sahara-desert,,"Erg Chebbi sand dunes at sunset, single camel silhouette on ridge, warm golden light on orange sand, Morocco Sahara, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",The classic Merzouga experience. Cross the Atlas. Sleep in the dunes. Return through the valleys.,3,2,280,265,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Ouarzazate, Dades Valley, Merzouga",Erg Chebbi dunes|Sunset camel trek|Desert camp|Todra Gorge|Dades Valley,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,2
FAB-3DAY-FES,3-Day Desert to Fes,3-day-desert-to-fes,,"Ziz Valley overlook, green palm oasis cutting through red canyon walls, winding road visible below, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",Cross Morocco from Marrakech to Fes through the Sahara. One-way journey through the heart of the country.,3,2,295,280,Marrakech,Fes,"Marrakech, Ait Benhaddou, Merzouga, Ziz Valley, Ifrane, Fes",Erg Chebbi dunes|Ziz Valley oasis|Cedar forests|Ifrane|Camel trek,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,3
FAB-4DAY-SAH,4-Day Sahara & Valleys,4-day-sahara-valleys,,"Todra Gorge narrow passage, 300 meter canyon walls towering overhead, soft light filtering down, small figures walking for scale, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, timeless atmosphere, quiet composition, negative space, realistic texture, unstyled and honest, film photography look, medium format camera, 35mm lens, f/4, ISO 200, grain 8% --style raw --s 70 --ar 16:9",More time in the desert and valleys. Explore Todra Gorge and Dades Valley and the Erg Chebbi dunes.,4,3,380,360,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Dades Valley, Todra Gorge, Merzouga",Two nights desert experience|Todra Gorge|Dades Valley kasbahs|Ait Benhaddou|Nomad visit,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Desert camp dinners|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,4
FAB-4DAY-FES,4-Day Desert to Fes,4-day-desert-to-fes,,"Dades Valley at golden hour, dramatic finger rock formations, traditional kasbah in valley below, winding road through gorge, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",The complete crossing. Marrakech to Fes via Sahara with time to breathe in the valleys.,4,3,420,395,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades Valley, Merzouga, Ziz Valley, Fes",Dades Valley|Todra Gorge|Erg Chebbi|Ziz Valley|Cedar forests,Private 4x4 vehicle|English-speaking driver|3 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,5
FAB-5DAY-IMP,5-Day Imperial Cities & Desert,5-day-imperial-cities-desert,,"Fes medina rooftop view at dawn, sea of white buildings with green tiled minarets, satellite dishes, Atlas Mountains in distance, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",Desert and cities combined. Sahara experience plus Fes medina exploration.,5,4,520,490,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Ifrane",Sahara desert|Fes medina|Volubilis ruins|Cedar forests|Atlas crossing,Private 4x4 vehicle|English-speaking driver|4 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|Fes guide,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,6
FAB-8DAY-MOR,8-Day Morocco Discovery,8-day-morocco-discovery,,"Chefchaouen blue alleyway with potted plants on steps, soft morning light, whitewashed steps leading up between vivid blue walls, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 35mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",The essential Morocco loop. Desert and mountains and imperial cities and the blue pearl of Chefchaouen.,8,7,890,840,Marrakech,Marrakech,"Marrakech, Ait Benhaddou, Merzouga, Fes, Chefchaouen, Rabat",Sahara desert|Chefchaouen blue city|Fes medina|Volubilis|Four imperial cities,Private 4x4 vehicle|English-speaking driver|7 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|City guides,Flights|Lunches|Tips|Travel insurance|Personal expenses,Classic,TRUE,TRUE,7
FAB-9DAY-GRD,9-Day Grand Morocco,9-day-grand-morocco,,"Volubilis Roman ruins at golden hour, ancient columns and stone arches, storks nesting on top of columns, green rolling hills beyond, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 50mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",Extended journey through Morocco's highlights. More time in each place for deeper experience.,9,8,980,920,Marrakech,Fes,"Marrakech, Ait Benhaddou, Dades, Merzouga, Fes, Meknes, Chefchaouen",Extended desert time|Dades Valley|Fes cultural immersion|Meknes|Chefchaouen,Private 4x4 vehicle|English-speaking driver|8 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride|City guides,Flights|Lunches|Tips|Travel insurance|Personal expenses,Grand,FALSE,TRUE,8
FAB-2DAY-FEZ,2-Day Fes to Desert,2-day-fes-desert,,"Middle Atlas cedar forest, Barbary macaque monkey sitting on thick branch, dappled sunlight through ancient cedar trees, Morocco, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 85mm lens, f/2.8, ISO 400, grain 8% --style raw --s 70 --ar 16:9",Quick desert escape from Fes. Through the Middle Atlas to Merzouga and back.,2,1,190,180,Fes,Fes,"Fes, Ifrane, Ziz Valley, Merzouga",Cedar forests|Ziz Valley|Erg Chebbi|Camel trek|Desert camp,Private 4x4 vehicle|English-speaking driver|1 night desert camp|Breakfast and dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,9
FAB-3DAY-FEZ,3-Day Fes to Desert,3-day-fes-to-desert,,"Merzouga desert camp at dusk, traditional Berber tent with warm lantern light glowing inside, Erg Chebbi golden dunes behind, Morocco Sahara, documentary editorial photography, muted but luminous color, soft natural light, open shadows, no crushed blacks, low contrast, desaturated but true color, dusty earth tones, sky remains blue, timeless atmosphere, quiet composition, negative space, single clear subject, realistic texture, unstyled and honest, film photography look, medium format camera, 35mm lens, f/2.8, ISO 200, grain 8% --style raw --s 70 --ar 16:9",From the ancient medina to the golden dunes. Round trip from Fes through Middle Atlas.,3,2,290,275,Fes,Fes,"Fes, Ifrane, Azrou, Ziz Valley, Merzouga, Todra Gorge",Middle Atlas|Cedar forests|Erg Chebbi|Todra Gorge|Berber villages,Private 4x4 vehicle|English-speaking driver|2 nights accommodation|Breakfast daily|Desert camp dinner|Camel ride,Flights|Lunches|Tips|Travel insurance|Personal expenses,Desert,TRUE,TRUE,10
