tour_id,day_number,title,from_city,to_city,description,driving_hours,meals,accommodation,image_url,activities,difficulty
FAB-ZAG-2D,1,Marrakech to Zagora,Marrakech,Zagora,"Depart Marrakech crossing the High Atlas via Tizi n'Tichka pass (2260m). Stop at Ait Benhaddou, the UNESCO fortress that starred in Gladiator and Game of Thrones. Continue through Ouarzazate and the Draa Valley—Morocco's longest river lined with palm groves and kasbahs. Arrive in Zagora for a sunset camel trek into the dunes.",7,Dinner,Desert Camp,,Camel trek,Moderate
FAB-ZAG-2D,2,Zagora to Marrakech,Zagora,Marrakech,"Wake for sunrise over the desert. After breakfast, return through the Draa Valley with stops at Berber villages and a traditional lunch opportunity. Cross back over the Atlas Mountains, arriving in Marrakech by evening.",7,Breakfast,End of tour,,Sightseeing,Easy
FAB-SAH-3D,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Cross the High Atlas via Tizi n'Tichka pass. Visit Ait Benhaddou—the ancient caravan route fortress. Continue through Ouarzazate (Hollywood of Africa) and along the Road of a Thousand Kasbahs to the Dades Valley. Watch sunset paint the valley walls orange.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-SAH-3D,2,Dades to Merzouga,Dades Valley,Merzouga,"Morning walk in Dades Gorge among the finger-like rock formations. Drive through Tinghir to the dramatic Todra Gorge—300m canyon walls just 10m apart. Continue through Berber villages to Merzouga. Late afternoon camel trek into Erg Chebbi for sunset and dinner under the stars.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-SAH-3D,3,Merzouga to Marrakech,Merzouga,Marrakech,"Optional sunrise over the dunes. After breakfast, the long scenic drive back—through Rissani (birthplace of the Alaouite dynasty), past underground irrigation channels, over the Atlas. Arrive Marrakech evening.",9,Breakfast,End of tour,,Sightseeing,Easy
FAB-FES-3D,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Cross the High Atlas via Tizi n'Tichka pass. Visit Ait Benhaddou—the ancient caravan route fortress. Continue through Ouarzazate and along the Road of a Thousand Kasbahs to the Dades Valley.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-FES-3D,2,Dades to Merzouga,Dades Valley,Merzouga,"Morning in Dades Gorge. Drive through Tinghir and Todra Gorge. Continue to Merzouga for camel trek into Erg Chebbi. Dinner and night under the stars in the Sahara.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
FAB-FES-3D,3,Merzouga to Fes,Merzouga,Fes,"Sunrise over the dunes. After breakfast, drive north through the Ziz Valley—a ribbon of green palms through red canyon walls. Stop at Ifrane (Little Switzerland) and the cedar forests where Barbary macaques live. Arrive Fes evening.",7,Breakfast,End of tour,,Sightseeing,Easy
FAB-SAH-4D,1,Marrakech to Dades Valley,Marrakech,Dades Valley,"Cross the High Atlas via Tizi n'Tichka. Visit Ait Benhaddou and Ouarzazate. Follow the Road of a Thousand Kasbahs to Dades Valley for sunset.",5,Dinner,Dades Riad,,Sightseeing,Easy
FAB-SAH-4D,2,Dades to Merzouga,Dades Valley,Merzouga,"Morning walk in Dades Gorge. Drive through Todra Gorge. Afternoon arrival in Merzouga—time to relax before sunset camel trek. Dinner and overnight in desert camp.",5,Breakfast|Dinner,Desert Camp,,Camel trek,Moderate
